question_id,mode,rank,paper_id,title,chunk_id,pages,source,graph_reasons
q_api_002,graph_guided,2,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,paper63_chunk_0017,8-9,graph,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_002,graph_guided,3,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,paper70_chunk_0004,3,graph,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_002,graph_guided,4,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,paper63_chunk_0000,1,graph,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_002,graph_guided,5,paper79,"A Multi-View Media Profiling Suite: Resources, Evaluation, and Analysis",paper79_chunk_0024,13,graph,"['shared_topic: Large Language Models', 'shared_topic: Hallucination Detection', 'shared_topic: Safety and Bias', 'shared_topic: Embeddings']"
q_api_002,graph_guided,6,paper111,GRAIL: A Deep-Granularity Hybrid Resonance Framework for Real-Time Agent Discovery via SLM-Enhanced Indexing,paper111_chunk_0012,6-7,graph,"['shared_topic: Large Language Models', 'shared_topic: Dense Retrieval', 'shared_topic: Hybrid Search']"
q_api_002,graph_guided,7,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0017,14,vector,[]
q_api_002,graph_guided,8,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0000,1-2,vector,[]
q_api_002,hybrid_graphrag,1,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0017,14,vector,[]
q_api_002,hybrid_graphrag,2,paper12,Generation: A Controlled Empirical Study1,paper12_chunk_0000,1-2,vector,[]
q_api_002,hybrid_graphrag,3,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,paper148_chunk_0010,7,vector,[]
q_api_002,hybrid_graphrag,4,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,paper70_chunk_0003,2-3,graph,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_002,hybrid_graphrag,5,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,paper85_chunk_0027,12,vector,[]
q_api_002,hybrid_graphrag,6,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,paper63_chunk_0017,8-9,graph,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_002,hybrid_graphrag,7,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,paper85_chunk_0003,2,vector,[]
q_api_002,hybrid_graphrag,8,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,paper70_chunk_0004,3,graph,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_003,vector_only,1,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,paper19_chunk_0036,36-37,vector,[]
q_api_003,vector_only,2,paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,paper14_chunk_0008,5-6,vector,[]
q_api_003,vector_only,3,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,paper19_chunk_0000,1-2,vector,[]
q_api_003,vector_only,4,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,paper19_chunk_0007,7-8,vector,[]
q_api_003,vector_only,5,paper67,Hallucinations Undermine Trust; Metacognition is a Way Forward,paper67_chunk_0021,16,vector,[]
q_api_003,graph_guided,1,paper146,ML-Bench&Guard: Policy-Grounded Multilingual Safety Benchmark and Guardrail for Large Language Models,paper146_chunk_0016,10-11,graph,"['shared_topic: Large Language Models', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,graph_guided,2,paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,paper43_chunk_0019,12,graph,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,graph_guided,3,paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,paper43_chunk_0020,12-13,graph,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,graph_guided,4,paper146,ML-Bench&Guard: Policy-Grounded Multilingual Safety Benchmark and Guardrail for Large Language Models,paper146_chunk_0000,1,graph,"['shared_topic: Large Language Models', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,graph_guided,5,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,paper19_chunk_0036,36-37,vector,[]
q_api_003,graph_guided,6,paper184,"Liujianfu Wanga†, Yuyang Dua†, Jingqi Linb†, Kexin Chena, Soung Chang Liewa∗",paper184_chunk_0000,1,graph,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: Instruction Tuning', 'shared_topic: LLM Evaluation']"
q_api_003,graph_guided,7,paper184,"Liujianfu Wanga†, Yuyang Dua†, Jingqi Linb†, Kexin Chena, Soung Chang Liewa∗",paper184_chunk_0014,7-8,graph,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: Instruction Tuning', 'shared_topic: LLM Evaluation']"
q_api_003,graph_guided,8,paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,paper14_chunk_0008,5-6,vector,[]
q_api_003,hybrid_graphrag,1,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,paper19_chunk_0036,36-37,vector,[]
q_api_003,hybrid_graphrag,2,paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,paper14_chunk_0008,5-6,vector,[]
q_api_003,hybrid_graphrag,3,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,paper19_chunk_0000,1-2,vector,[]
q_api_003,hybrid_graphrag,4,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,paper19_chunk_0007,7-8,vector,[]
q_api_003,hybrid_graphrag,5,paper67,Hallucinations Undermine Trust; Metacognition is a Way Forward,paper67_chunk_0021,16,vector,[]
q_api_003,hybrid_graphrag,6,paper146,ML-Bench&Guard: Policy-Grounded Multilingual Safety Benchmark and Guardrail for Large Language Models,paper146_chunk_0016,10-11,graph,"['shared_topic: Large Language Models', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,hybrid_graphrag,7,paper146,ML-Bench&Guard: Policy-Grounded Multilingual Safety Benchmark and Guardrail for Large Language Models,paper146_chunk_0000,1,graph,"['shared_topic: Large Language Models', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,hybrid_graphrag,8,paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,paper43_chunk_0019,12,graph,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
