question_id,mode,rank,source,paper_id,title,pages,retrieval_score,graph_score,final_score,graph_reasons
q_api_002,graph_guided,3,graph,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,3,0.6226434576021973,1.0,0.8113,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_002,graph_guided,4,graph,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,1,0.6054895557366703,1.0,0.8027,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_002,graph_guided,5,graph,paper79,"A Multi-View Media Profiling Suite: Resources, Evaluation, and Analysis",13,0.23182326574323392,1.0,0.6159,"['shared_topic: Large Language Models', 'shared_topic: Hallucination Detection', 'shared_topic: Safety and Bias', 'shared_topic: Embeddings']"
q_api_002,graph_guided,6,graph,paper111,GRAIL: A Deep-Granularity Hybrid Resonance Framework for Real-Time Agent Discovery via SLM-Enhanced Indexing,6-7,0.4263991997473672,0.75,0.6132,"['shared_topic: Large Language Models', 'shared_topic: Dense Retrieval', 'shared_topic: Hybrid Search']"
q_api_002,graph_guided,7,vector,paper12,Generation: A Controlled Empirical Study1,14,1.0,0.0,0.6,[]
q_api_002,graph_guided,8,vector,paper12,Generation: A Controlled Empirical Study1,1-2,0.9102373655926013,0.0,0.5551,[]
q_api_002,hybrid_graphrag,1,vector,paper12,Generation: A Controlled Empirical Study1,14,1.0,0.0,0.9,[]
q_api_002,hybrid_graphrag,2,vector,paper12,Generation: A Controlled Empirical Study1,1-2,0.9102373655926013,0.0,0.8282,[]
q_api_002,hybrid_graphrag,3,vector,paper148,H-RAG at SemEval-2026 Task 8: Hierarchical Parent-Child Retrieval for Multi-Turn RAG Conversations,7,0.8859096276623353,0.0,0.8087,[]
q_api_002,hybrid_graphrag,4,graph,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,2-3,0.734491007653188,1.0,0.7876,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_002,hybrid_graphrag,5,vector,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,12,0.8227778872360267,0.0,0.7582,[]
q_api_002,hybrid_graphrag,6,graph,paper63,FT-RAG: A Fine-grained Retrieval-Augmented Generation Framework for Complex Table Reasoning,8-9,0.6889551498036568,1.0,0.7512,"['shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Information Retrieval', 'shared_topic: Question Answering']"
q_api_002,hybrid_graphrag,7,vector,paper85,Beyond Semantic Relevance: Counterfactual Risk Minimization for Robust Retrieval-Augmented Generation,2,0.8074687855128688,0.0,0.746,[]
q_api_002,hybrid_graphrag,8,graph,paper70,Verbal-R3: Verbal Reranker as the Missing Bridge between Retrieval and Reasoning,3,0.6226434576021973,1.0,0.6981,"['shared_topic: Reranking', 'shared_topic: Retrieval-Augmented Generation', 'shared_topic: Large Language Models', 'shared_topic: Question Answering']"
q_api_003,vector_only,1,vector,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,36-37,1.0,0.0,1.0,[]
q_api_003,vector_only,2,vector,paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,5-6,0.7266841133110413,0.0,0.7267,[]
q_api_003,vector_only,3,vector,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,1-2,0.27621512892112865,0.0,0.2762,[]
q_api_003,vector_only,4,vector,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,7-8,0.031267541486834145,0.0,0.0313,[]
q_api_003,vector_only,5,vector,paper67,Hallucinations Undermine Trust; Metacognition is a Way Forward,16,0.0,0.0,0.0,[]
q_api_003,graph_guided,1,graph,paper146,ML-Bench&Guard: Policy-Grounded Multilingual Safety Benchmark and Guardrail for Large Language Models,10-11,0.4899317894455519,0.75,0.645,"['shared_topic: Large Language Models', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,graph_guided,2,graph,paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,12,0.2602546800814862,1.0,0.6301,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,graph_guided,3,graph,paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,12-13,0.25432939770671376,1.0,0.6272,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,graph_guided,4,graph,paper146,ML-Bench&Guard: Policy-Grounded Multilingual Safety Benchmark and Guardrail for Large Language Models,1,0.4141864238233389,0.75,0.6071,"['shared_topic: Large Language Models', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,graph_guided,5,vector,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,36-37,1.0,0.0,0.6,[]
q_api_003,graph_guided,6,graph,paper184,"Liujianfu Wanga†, Yuyang Dua†, Jingqi Linb†, Kexin Chena, Soung Chang Liewa∗",1,0.16062704075856507,1.0,0.5803,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: Instruction Tuning', 'shared_topic: LLM Evaluation']"
q_api_003,graph_guided,7,graph,paper184,"Liujianfu Wanga†, Yuyang Dua†, Jingqi Linb†, Kexin Chena, Soung Chang Liewa∗",7-8,0.15634543841345772,1.0,0.5782,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: Instruction Tuning', 'shared_topic: LLM Evaluation']"
q_api_003,graph_guided,8,vector,paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,5-6,0.94351216018954,0.0,0.5718,[]
q_api_003,hybrid_graphrag,1,vector,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,36-37,1.0,0.0,0.9,[]
q_api_003,hybrid_graphrag,2,vector,paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,5-6,0.94351216018954,0.0,0.8548,[]
q_api_003,hybrid_graphrag,3,vector,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,1-2,0.8504110231204156,0.0,0.7803,[]
q_api_003,hybrid_graphrag,4,vector,paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,7-8,0.799786230509317,0.0,0.7398,[]
q_api_003,hybrid_graphrag,5,vector,paper67,Hallucinations Undermine Trust; Metacognition is a Way Forward,16,0.7933239794628374,0.0,0.7347,[]
q_api_003,hybrid_graphrag,6,graph,paper146,ML-Bench&Guard: Policy-Grounded Multilingual Safety Benchmark and Guardrail for Large Language Models,10-11,0.4899317894455519,0.75,0.5669,"['shared_topic: Large Language Models', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,hybrid_graphrag,7,graph,paper146,ML-Bench&Guard: Policy-Grounded Multilingual Safety Benchmark and Guardrail for Large Language Models,1,0.4141864238233389,0.75,0.5063,"['shared_topic: Large Language Models', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
q_api_003,hybrid_graphrag,8,graph,paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,12,0.2602546800814862,1.0,0.4082,"['shared_topic: Large Language Models', 'shared_topic: Question Answering', 'shared_topic: LLM Evaluation', 'shared_topic: Multilingual NLP']"
