paper_id,title,topic,topic_type,source,evidence,confidence,tfidf_score,doc_frequency
paper7,Mapping Discourse Reframing: A Multi-Layer Network Approach to Italian HPV Vaccine Discourse on X (2010-2024),Hpv Vaccine,discovered,extracted_keyphrase,hpv vaccine,0.72,0.4329,1.0
paper7,Mapping Discourse Reframing: A Multi-Layer Network Approach to Italian HPV Vaccine Discourse on X (2010-2024),Mapping Discourse,discovered,extracted_keyphrase,mapping discourse,0.72,0.2886,1.0
paper7,Mapping Discourse Reframing: A Multi-Layer Network Approach to Italian HPV Vaccine Discourse on X (2010-2024),Information Disorder,discovered,extracted_keyphrase,information disorder,0.69,0.6698,2.0
paper7,Mapping Discourse Reframing: A Multi-Layer Network Approach to Italian HPV Vaccine Discourse on X (2010-2024),Proposes Novel,discovered,extracted_keyphrase,proposes novel,0.69,0.134,2.0
paper7,Mapping Discourse Reframing: A Multi-Layer Network Approach to Italian HPV Vaccine Discourse on X (2010-2024),Abstract Understanding,discovered,extracted_keyphrase,abstract understanding,0.69,0.1266,3.0
paper8,"Synthetic Users, Real Differences: an Evaluation Framework for User Simulation in Multi-Turn Conversations",Dialogue Systems,controlled,controlled_abstract,chatbot,0.82,,
paper8,"Synthetic Users, Real Differences: an Evaluation Framework for User Simulation in Multi-Turn Conversations",Multi Turn,discovered,extracted_keyphrase,multi turn,0.76,0.3479,7.0
paper8,"Synthetic Users, Real Differences: an Evaluation Framework for User Simulation in Multi-Turn Conversations",Real User,discovered,extracted_keyphrase,real user,0.69,0.428,2.0
paper8,"Synthetic Users, Real Differences: an Evaluation Framework for User Simulation in Multi-Turn Conversations",Surface Form,discovered,extracted_keyphrase,surface form,0.69,0.214,2.0
paper8,"Synthetic Users, Real Differences: an Evaluation Framework for User Simulation in Multi-Turn Conversations",Conversations Abstract,discovered,extracted_keyphrase,conversations abstract,0.69,0.214,2.0
paper8,"Synthetic Users, Real Differences: an Evaluation Framework for User Simulation in Multi-Turn Conversations",Communica Tion,discovered,extracted_keyphrase,communica tion,0.69,0.214,2.0
paper9,Beating the Style Detector: Three Hours of Agentic Research on the AI-Text Arms Race,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper9,Beating the Style Detector: Three Hours of Agentic Research on the AI-Text Arms Race,Embeddings,controlled,controlled_abstract,embedding,0.82,,
paper10,Dependency Parsing Across the Resource Spectrum: Evaluating Architectures on High and Low-Resource Languages,Low-Resource NLP,controlled,controlled_title,low resource,0.95,,
paper10,Dependency Parsing Across the Resource Spectrum: Evaluating Architectures on High and Low-Resource Languages,Low Resource,discovered,extracted_keyphrase,low resource,0.76,0.5948,4.0
paper10,Dependency Parsing Across the Resource Spectrum: Evaluating Architectures on High and Low-Resource Languages,Lan Guages,discovered,extracted_keyphrase,lan guages,0.69,0.2491,3.0
paper10,Dependency Parsing Across the Resource Spectrum: Evaluating Architectures on High and Low-Resource Languages,Achieve State,discovered,extracted_keyphrase,achieve state,0.69,0.1318,2.0
paper10,Dependency Parsing Across the Resource Spectrum: Evaluating Architectures on High and Low-Resource Languages,Poorly Understood,discovered,extracted_keyphrase,poorly understood,0.69,0.1318,2.0
paper10,Dependency Parsing Across the Resource Spectrum: Evaluating Architectures on High and Low-Resource Languages,High Resource,discovered,extracted_keyphrase,high resource,0.69,0.1318,2.0
paper11,SemEval-2026 Task 7: Everyday Knowledge Across Diverse Languages and Cultures,Large Language Models,controlled,controlled_abstract,llms,0.82,,
paper11,SemEval-2026 Task 7: Everyday Knowledge Across Diverse Languages and Cultures,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper11,SemEval-2026 Task 7: Everyday Knowledge Across Diverse Languages and Cultures,LLM Evaluation,controlled,controlled_abstract,benchmark,0.82,,
paper11,SemEval-2026 Task 7: Everyday Knowledge Across Diverse Languages and Cultures,Low-Resource NLP,controlled,controlled_abstract,low resource,0.82,,
paper12,Generation: A Controlled Empirical Study1,Retrieval-Augmented Generation,controlled,controlled_abstract,rag,0.82,,
paper12,Generation: A Controlled Empirical Study1,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper12,Generation: A Controlled Empirical Study1,Information Retrieval,controlled,controlled_abstract,information retrieval,0.82,,
paper12,Generation: A Controlled Empirical Study1,Dense Retrieval,controlled,controlled_abstract,dense retrieval,0.82,,
paper12,Generation: A Controlled Empirical Study1,Hybrid Search,controlled,controlled_abstract,hybrid search,0.82,,
paper12,Generation: A Controlled Empirical Study1,Reranking,controlled,controlled_abstract,reranking,0.82,,
paper13,Revisiting Semantic Role Labeling: Efficient Structured Inference with Dependency-Informed Analysis,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper13,Revisiting Semantic Role Labeling: Efficient Structured Inference with Dependency-Informed Analysis,Multilingual NLP,controlled,controlled_abstract,multilingual,0.82,,
paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,LLM Evaluation,controlled,controlled_title,benchmark,0.95,,
paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,Hallucination Detection,controlled,controlled_title,hallucination,0.95,,
paper14,A multilingual hallucination benchmark: MultiWikiQHalluA,Multilingual NLP,controlled,controlled_title,multilingual,0.95,,
paper15,Accurate Legal Reasoning at Scale: Neuro-Symbolic Offloading and Structural Auditability for Robust Legal Adjudication,Reasoning,controlled,controlled_title,reasoning,0.95,,
paper15,Accurate Legal Reasoning at Scale: Neuro-Symbolic Offloading and Structural Auditability for Robust Legal Adjudication,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper16,"ATLAS: Article Tracking, Linking, and Analysis of Swedish Encyclopedias",Named Entity Recognition,controlled,controlled_abstract,named entity recognition,0.82,,
paper16,"ATLAS: Article Tracking, Linking, and Analysis of Swedish Encyclopedias",F1 Score,discovered,extracted_keyphrase,f1 score,0.69,0.5605,5.0
paper16,"ATLAS: Article Tracking, Linking, and Analysis of Swedish Encyclopedias",Small Scale,discovered,extracted_keyphrase,small scale,0.69,0.32,4.0
paper17,Leveraging Argument Structure to Predict Content Hatefulness,Argument Structure,discovered,extracted_keyphrase,argument structure,0.76,0.5589,2.0
paper17,Leveraging Argument Structure to Predict Content Hatefulness,Information Disorder,discovered,extracted_keyphrase,information disorder,0.69,0.3726,2.0
paper17,Leveraging Argument Structure to Predict Content Hatefulness,Hate Speech,discovered,extracted_keyphrase,hate speech,0.69,0.3521,3.0
paper17,Leveraging Argument Structure to Predict Content Hatefulness,Content Warning,discovered,extracted_keyphrase,content warning,0.69,0.1863,2.0
paper17,Leveraging Argument Structure to Predict Content Hatefulness,Content Warning Paper,discovered,extracted_keyphrase,content warning paper,0.69,0.1863,2.0
paper17,Leveraging Argument Structure to Predict Content Hatefulness,Content Warning Paper Contains,discovered,extracted_keyphrase,content warning paper contains,0.69,0.1863,2.0
paper18,PC-MNet: Dual-Level Congruity Modeling for Multimodal Sarcasm Detection via Polarity-Modulated Attention,LLM Evaluation,controlled,controlled_abstract,benchmark,0.82,,
paper18,PC-MNet: Dual-Level Congruity Modeling for Multimodal Sarcasm Detection via Polarity-Modulated Attention,Multimodal Sarcasm,discovered,extracted_keyphrase,multimodal sarcasm,0.72,0.1174,1.0
paper18,PC-MNet: Dual-Level Congruity Modeling for Multimodal Sarcasm Detection via Polarity-Modulated Attention,Multimodal Sarcasm Detection,discovered,extracted_keyphrase,multimodal sarcasm detection,0.72,0.1174,1.0
paper18,PC-MNet: Dual-Level Congruity Modeling for Multimodal Sarcasm Detection via Polarity-Modulated Attention,Polarity Modulated,discovered,extracted_keyphrase,polarity modulated,0.72,0.1174,1.0
paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,Large Language Models,controlled,controlled_title,llms,0.95,,
paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,Instruction Tuning,controlled,controlled_title,instruction following,0.95,,
paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,LLM Evaluation,controlled,controlled_title,benchmark,0.95,,
paper19,HalluScan: A Systematic Benchmark for Detecting and Mitigating Hallucinations in Instruction-Following LLMs,Hallucination Detection,controlled,controlled_title,hallucinations,0.95,,
paper20,Automatic Reflection Level Classification in Hungarian Student Essays,Text Classification,controlled,controlled_abstract,text classification,0.82,,
paper20,Automatic Reflection Level Classification in Hungarian Student Essays,Low-Resource NLP,controlled,controlled_abstract,low resource,0.82,,
paper20,Automatic Reflection Level Classification in Hungarian Student Essays,Embeddings,controlled,controlled_abstract,embedding,0.82,,
paper21,Is It Novel and Why? Fine-Grained Patent Novelty Prediction Based on Passage Retrieval,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper21,Is It Novel and Why? Fine-Grained Patent Novelty Prediction Based on Passage Retrieval,Information Retrieval,controlled,controlled_abstract,information retrieval,0.82,,
paper21,Is It Novel and Why? Fine-Grained Patent Novelty Prediction Based on Passage Retrieval,Text Classification,controlled,controlled_abstract,classification task,0.82,,
paper21,Is It Novel and Why? Fine-Grained Patent Novelty Prediction Based on Passage Retrieval,Embeddings,controlled,controlled_abstract,embedding,0.82,,
paper21,Is It Novel and Why? Fine-Grained Patent Novelty Prediction Based on Passage Retrieval,Reasoning,controlled,controlled_abstract,reasoning,0.82,,
paper22,InfoLaw: Information Scaling Laws for Large Language Models with Quality-Weighted Mixture Data and Repetition,Large Language Models,controlled,controlled_title,large language models,0.95,,
paper22,InfoLaw: Information Scaling Laws for Large Language Models with Quality-Weighted Mixture Data and Repetition,Scaling Laws,discovered,extracted_keyphrase,scaling laws,0.76,0.4995,4.0
paper22,InfoLaw: Information Scaling Laws for Large Language Models with Quality-Weighted Mixture Data and Repetition,Scaling Laws Data,discovered,extracted_keyphrase,scaling laws data,0.69,0.1845,2.0
paper22,InfoLaw: Information Scaling Laws for Large Language Models with Quality-Weighted Mixture Data and Repetition,Modeling Information,discovered,extracted_keyphrase,modeling information,0.69,0.1845,2.0
paper22,InfoLaw: Information Scaling Laws for Large Language Models with Quality-Weighted Mixture Data and Repetition,Information Density,discovered,extracted_keyphrase,information density,0.69,0.1845,2.0
paper22,InfoLaw: Information Scaling Laws for Large Language Models with Quality-Weighted Mixture Data and Repetition,Scal Ing,discovered,extracted_keyphrase,scal ing,0.69,0.1743,3.0
paper23,When Correct Isn't Usable: Improving Structured Output Reliability in Small Language Models,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper23,When Correct Isn't Usable: Improving Structured Output Reliability in Small Language Models,Prompt Engineering,controlled,controlled_abstract,prompting,0.82,,
paper23,When Correct Isn't Usable: Improving Structured Output Reliability in Small Language Models,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper23,When Correct Isn't Usable: Improving Structured Output Reliability in Small Language Models,Reasoning,controlled,controlled_abstract,reasoning,0.82,,
paper24,MolViBench: Evaluating LLMs on Molecular Vibe Coding,Large Language Models,controlled,controlled_title,llms,0.95,,
paper24,MolViBench: Evaluating LLMs on Molecular Vibe Coding,LLM Evaluation,controlled,controlled_abstract,benchmark,0.82,,
paper24,MolViBench: Evaluating LLMs on Molecular Vibe Coding,Code Generation,controlled,controlled_abstract,code generation,0.82,,
paper24,MolViBench: Evaluating LLMs on Molecular Vibe Coding,Reasoning,controlled,controlled_abstract,reasoning,0.82,,
paper25,Decoding-Time Debiasing via Process Reward Models: From Controlled Fill-in to Open-Ended Generation,Large Language Models,controlled,controlled_abstract,llms,0.82,,
paper25,Decoding-Time Debiasing via Process Reward Models: From Controlled Fill-in to Open-Ended Generation,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper25,Decoding-Time Debiasing via Process Reward Models: From Controlled Fill-in to Open-Ended Generation,LLM Evaluation,controlled,controlled_abstract,benchmark,0.82,,
paper25,Decoding-Time Debiasing via Process Reward Models: From Controlled Fill-in to Open-Ended Generation,Safety and Bias,controlled,controlled_abstract,bias,0.82,,
paper26,"Xianglei Liao1, Chuanyi Li2, Kun Chen1†",Large Language Models,controlled,controlled_abstract,llms,0.82,,
paper26,"Xianglei Liao1, Chuanyi Li2, Kun Chen1†",Legal Texts,discovered,extracted_keyphrase,legal texts,0.69,0.1965,3.0
paper26,"Xianglei Liao1, Chuanyi Li2, Kun Chen1†",Artificial Intelligence,discovered,extracted_keyphrase,artificial intelligence,0.69,0.1602,8.0
paper26,"Xianglei Liao1, Chuanyi Li2, Kun Chen1†",Practical Implications,discovered,extracted_keyphrase,practical implications,0.69,0.104,2.0
paper26,"Xianglei Liao1, Chuanyi Li2, Kun Chen1†",Legal Text,discovered,extracted_keyphrase,legal text,0.69,0.104,2.0
paper26,"Xianglei Liao1, Chuanyi Li2, Kun Chen1†",Corresponding Author,discovered,extracted_keyphrase,corresponding author,0.69,0.0765,2.0
paper27,Compositional Multi-hop Factual Error Correction via Decomposition-and-Injection,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper27,Compositional Multi-hop Factual Error Correction via Decomposition-and-Injection,Instruction Tuning,controlled,controlled_abstract,supervised fine tuning,0.82,,
paper27,Compositional Multi-hop Factual Error Correction via Decomposition-and-Injection,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper27,Compositional Multi-hop Factual Error Correction via Decomposition-and-Injection,Low-Resource NLP,controlled,controlled_abstract,few shot,0.82,,
paper27,Compositional Multi-hop Factual Error Correction via Decomposition-and-Injection,Reasoning,controlled,controlled_abstract,reasoning,0.82,,
paper28,A Systematic Benchmark of Machine Transliteration Models for the Tajik-Farsi Language Pair: A Comparative Study from Rule-Based to Transformer Architectures,LLM Evaluation,controlled,controlled_title,benchmark,0.95,,
paper28,A Systematic Benchmark of Machine Transliteration Models for the Tajik-Farsi Language Pair: A Comparative Study from Rule-Based to Transformer Architectures,Fine-Tuning,controlled,controlled_abstract,lora,0.82,,
paper28,A Systematic Benchmark of Machine Transliteration Models for the Tajik-Farsi Language Pair: A Comparative Study from Rule-Based to Transformer Architectures,Multilingual NLP,controlled,controlled_abstract,multilingual,0.82,,
paper29,Reliability-Oriented Multilingual Orthopedic Diagnosis: A Domain-Adaptive Modeling and a Conceptual Validation Framework,Multilingual NLP,controlled,controlled_title,multilingual,0.95,,
paper29,Reliability-Oriented Multilingual Orthopedic Diagnosis: A Domain-Adaptive Modeling and a Conceptual Validation Framework,Manuscript Submitted,discovered,extracted_keyphrase,manuscript submitted,0.69,0.2527,2.0
paper29,Reliability-Oriented Multilingual Orthopedic Diagnosis: A Domain-Adaptive Modeling and a Conceptual Validation Framework,Submitted Acm,discovered,extracted_keyphrase,submitted acm,0.69,0.2527,2.0
paper29,Reliability-Oriented Multilingual Orthopedic Diagnosis: A Domain-Adaptive Modeling and a Conceptual Validation Framework,Acm Manuscript Submitted Acm,discovered,extracted_keyphrase,acm manuscript submitted acm,0.69,0.2527,2.0
paper29,Reliability-Oriented Multilingual Orthopedic Diagnosis: A Domain-Adaptive Modeling and a Conceptual Validation Framework,Acm Manuscript Submitted,discovered,extracted_keyphrase,acm manuscript submitted,0.69,0.2527,2.0
paper29,Reliability-Oriented Multilingual Orthopedic Diagnosis: A Domain-Adaptive Modeling and a Conceptual Validation Framework,Acm Manuscript,discovered,extracted_keyphrase,acm manuscript,0.69,0.2527,2.0
paper30,An Information-theoretic Propagation Denoising and Fusion Framework for Fake News Detection,Large Language Models,controlled,controlled_abstract,large language models,0.82,,
paper30,An Information-theoretic Propagation Denoising and Fusion Framework for Fake News Detection,News Detection,discovered,extracted_keyphrase,news detection,0.76,0.3458,2.0
paper30,An Information-theoretic Propagation Denoising and Fusion Framework for Fake News Detection,Fake News Detection,discovered,extracted_keyphrase,fake news detection,0.76,0.3458,2.0
paper30,An Information-theoretic Propagation Denoising and Fusion Framework for Fake News Detection,Fake News,discovered,extracted_keyphrase,fake news,0.76,0.3458,2.0
paper30,An Information-theoretic Propagation Denoising and Fusion Framework for Fake News Detection,Propagation Denoising,discovered,extracted_keyphrase,propagation denoising,0.72,0.1862,1.0
paper30,An Information-theoretic Propagation Denoising and Fusion Framework for Fake News Detection,Theoretic Propagation Denoising,discovered,extracted_keyphrase,theoretic propagation denoising,0.72,0.1862,1.0
paper31,ARGUS: Policy-Adaptive Ad Governance via Evolving Reinforcement with Adversarial Umpiring,Retrieval-Augmented Generation,controlled,controlled_abstract,rag,0.82,,
paper31,ARGUS: Policy-Adaptive Ad Governance via Evolving Reinforcement with Adversarial Umpiring,Prompt Engineering,controlled,controlled_abstract,chain of thought,0.82,,
paper31,ARGUS: Policy-Adaptive Ad Governance via Evolving Reinforcement with Adversarial Umpiring,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper31,ARGUS: Policy-Adaptive Ad Governance via Evolving Reinforcement with Adversarial Umpiring,Reasoning,controlled,controlled_abstract,reasoning,0.82,,
paper32,CLaC at SemEval-2026 Task 6: Response Clarity Detection in Political Discourse,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper32,CLaC at SemEval-2026 Task 6: Response Clarity Detection in Political Discourse,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper32,CLaC at SemEval-2026 Task 6: Response Clarity Detection in Political Discourse,Multilingual NLP,controlled,controlled_abstract,multilingual,0.82,,
paper33,EditPropBench: Measuring Factual Edit Propagation in Scientific Manuscripts,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper33,EditPropBench: Measuring Factual Edit Propagation in Scientific Manuscripts,LLM Evaluation,controlled,controlled_abstract,benchmark,0.82,,
paper34,Enhanced LLM Reasoning by Optimizing Reward Functions with Search-Driven Reinforcement Learning,Large Language Models,controlled,controlled_title,llm,0.95,,
paper34,Enhanced LLM Reasoning by Optimizing Reward Functions with Search-Driven Reinforcement Learning,Reasoning,controlled,controlled_title,reasoning,0.95,,
paper34,Enhanced LLM Reasoning by Optimizing Reward Functions with Search-Driven Reinforcement Learning,Fine-Tuning,controlled,controlled_abstract,lora,0.82,,
paper34,Enhanced LLM Reasoning by Optimizing Reward Functions with Search-Driven Reinforcement Learning,LLM Evaluation,controlled,controlled_abstract,benchmark,0.82,,
paper34,Enhanced LLM Reasoning by Optimizing Reward Functions with Search-Driven Reinforcement Learning,Code Generation,controlled,controlled_abstract,code generation,0.82,,
paper35,Pair2Score: Pairwise-to-Absolute Transfer for LLM-Based Essay Scoring,Large Language Models,controlled,controlled_title,llm,0.95,,
paper35,Pair2Score: Pairwise-to-Absolute Transfer for LLM-Based Essay Scoring,Reranking,controlled,controlled_abstract,ranker,0.82,,
paper35,Pair2Score: Pairwise-to-Absolute Transfer for LLM-Based Essay Scoring,Embeddings,controlled,controlled_abstract,embedding,0.82,,
paper37,What Single-Prompt Accuracy Misses: A Multi-Variant Reliability Audit of Language Models,Prompt Engineering,controlled,controlled_abstract,chain of thought,0.82,,
paper37,What Single-Prompt Accuracy Misses: A Multi-Variant Reliability Audit of Language Models,LLM Evaluation,controlled,controlled_abstract,benchmark,0.82,,
paper37,What Single-Prompt Accuracy Misses: A Multi-Variant Reliability Audit of Language Models,Reasoning,controlled,controlled_abstract,reasoning,0.82,,
paper38,A Multimodal Dataset for Visually Grounded Ambiguity in Machine Translation,Machine Translation,controlled,controlled_title,machine translation,0.95,,
paper38,A Multimodal Dataset for Visually Grounded Ambiguity in Machine Translation,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper38,A Multimodal Dataset for Visually Grounded Ambiguity in Machine Translation,Prompt Engineering,controlled,controlled_abstract,chain of thought,0.82,,
paper38,A Multimodal Dataset for Visually Grounded Ambiguity in Machine Translation,Instruction Tuning,controlled,controlled_abstract,supervised fine tuning,0.82,,
paper38,A Multimodal Dataset for Visually Grounded Ambiguity in Machine Translation,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper39,Counting as a minimal probe of language model reliability,Large Language Models,controlled,controlled_abstract,large language models,0.82,,
paper39,Counting as a minimal probe of language model reliability,LLM Evaluation,controlled,controlled_abstract,model evaluation,0.82,,
paper39,Counting as a minimal probe of language model reliability,Reasoning,controlled,controlled_abstract,reasoning,0.82,,
paper40,Enhancing Judgment Document Generation via Agentic Legal Information Collection and Rubric-Guided Optimization,Retrieval-Augmented Generation,controlled,controlled_abstract,retrieval augmented generation,0.82,,
paper40,Enhancing Judgment Document Generation via Agentic Legal Information Collection and Rubric-Guided Optimization,Large Language Models,controlled,controlled_abstract,llm,0.82,,
paper40,Enhancing Judgment Document Generation via Agentic Legal Information Collection and Rubric-Guided Optimization,Information Retrieval,controlled,controlled_abstract,information retrieval,0.82,,
paper40,Enhancing Judgment Document Generation via Agentic Legal Information Collection and Rubric-Guided Optimization,Instruction Tuning,controlled,controlled_abstract,supervised fine tuning,0.82,,
paper40,Enhancing Judgment Document Generation via Agentic Legal Information Collection and Rubric-Guided Optimization,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper40,Enhancing Judgment Document Generation via Agentic Legal Information Collection and Rubric-Guided Optimization,LLM Evaluation,controlled,controlled_abstract,benchmark,0.82,,
paper41,Learn-to-learn on Arbitrary Textual Conditioning: A Hypernetwork-Driven Meta-Gated LLM,Large Language Models,controlled,controlled_title,llm,0.95,,
paper41,Learn-to-learn on Arbitrary Textual Conditioning: A Hypernetwork-Driven Meta-Gated LLM,Https Github,discovered,extracted_keyphrase,https github,0.69,0.2641,7.0
paper41,Learn-to-learn on Arbitrary Textual Conditioning: A Hypernetwork-Driven Meta-Gated LLM,Https Github Com,discovered,extracted_keyphrase,https github com,0.69,0.2641,8.0
paper41,Learn-to-learn on Arbitrary Textual Conditioning: A Hypernetwork-Driven Meta-Gated LLM,Github Com,discovered,extracted_keyphrase,github com,0.69,0.2565,6.0
paper42,StressEval: Failure-Driven Dynamic Benchmarking for Knowledge-Intensive Reasoning in Large Language Models,Large Language Models,controlled,controlled_title,large language models,0.95,,
paper42,StressEval: Failure-Driven Dynamic Benchmarking for Knowledge-Intensive Reasoning in Large Language Models,LLM Evaluation,controlled,controlled_title,benchmarking,0.95,,
paper42,StressEval: Failure-Driven Dynamic Benchmarking for Knowledge-Intensive Reasoning in Large Language Models,Reasoning,controlled,controlled_title,reasoning,0.95,,
paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,Large Language Models,controlled,controlled_title,large language model,0.95,,
paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,Reasoning,controlled,controlled_title,reasoning,0.95,,
paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,Question Answering,controlled,controlled_abstract,question answering,0.82,,
paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,Fine-Tuning,controlled,controlled_abstract,fine tuning,0.82,,
paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,LLM Evaluation,controlled,controlled_abstract,llm evaluation,0.82,,
paper43,Maistros: A Greek Large Language Model Adapted Through Knowledge Distillation From Large Reasoning Models,Multilingual NLP,controlled,controlled_abstract,multilingual,0.82,,
paper44,Spatiotemporal Hidden-State Dynamics as a Signature of Internal Reasoning in Large Language Models,Large Language Models,controlled,controlled_title,large language models,0.95,,
paper44,Spatiotemporal Hidden-State Dynamics as a Signature of Internal Reasoning in Large Language Models,Reasoning,controlled,controlled_title,reasoning,0.95,,
paper45,Do Large Language Models Plan Answer Positions? Position Bias in Multiple-Choice Question Generation,Large Language Models,controlled,controlled_title,large language models,0.95,,
paper45,Do Large Language Models Plan Answer Positions? Position Bias in Multiple-Choice Question Generation,Safety and Bias,controlled,controlled_title,bias,0.95,,
paper46,The Cylindrical Representation Hypothesis for Language Model Steering,Large Language Models,controlled,controlled_abstract,large language models,0.82,,
paper46,The Cylindrical Representation Hypothesis for Language Model Steering,Representation Hypothesis,discovered,extracted_keyphrase,representation hypothesis,0.72,0.4502,1.0
paper46,The Cylindrical Representation Hypothesis for Language Model Steering,Cylindrical Representation,discovered,extracted_keyphrase,cylindrical representation,0.72,0.3001,1.0
paper46,The Cylindrical Representation Hypothesis for Language Model Steering,Cylindrical Representation Hypothesis,discovered,extracted_keyphrase,cylindrical representation hypothesis,0.72,0.3001,1.0
paper46,The Cylindrical Representation Hypothesis for Language Model Steering,Control Ling,discovered,extracted_keyphrase,control ling,0.69,0.1393,2.0
paper46,The Cylindrical Representation Hypothesis for Language Model Steering,Intrinsic Uncertainty,discovered,extracted_keyphrase,intrinsic uncertainty,0.69,0.1393,2.0
paper47,RMGAP: Benchmarking the Generalization of Reward Models across Diverse Preferences,LLM Evaluation,controlled,controlled_title,benchmarking,0.95,,
